($ in millions),Before Tax Amount,Tax (Expense)/ Benefit,Net of Tax Amount
Other comprehensive income/(loss),Foreign currency translation adjustments,"$(1,500)","$ 535,$(965)"
Net changes related to available-for-sale securities,Unrealized gains/(losses) arising during the period,$(1),"$ 0,$ 0"
Reclassification of (gains)/losses to other (income) and expense,-,-,-
Total net changes related to available-for-sale securities,$(1),$ 0,$ 0
Unrealized gains/(losses) on cash flow hedges,Unrealized gains/(losses) arising during the period,$(349),"$ 89,$(261)"
Reclassification of (gains)/losses to:,Cost of services,$(23),"6,$(18)"
Cost of sales,$(2),1,$(2)
Cost of financing,27,$(7),20
SG&A expense,0,0,0
Other (income) and expense,$(101),25,$(75)
Interest expense,78,$(20),58
Total unrealized gains/(losses) on cash flow hedges,$(370),$ 94,$(277)
Retirement-related benefit plans,Prior service costs/(credits),$(37),"$ 7,$(29)"
Net (losses)/gains arising during the period,"$(1,678)",295,"$(1,383)"
Curtailments and settlements,52,$(14),38
Amortization of prior service (credits)/costs,13,$(1),12
Amortization of net (gains)/losses,"2,314",$(451),"1,863"
Total retirement-related benefit plans,$ 664,$(163),$ 501
Other comprehensive income/(loss),"$(1,206)",$ 466,$(740)
