"At December 31, 2019:",Americas,EMEA,Asia Pacific,Total
Recorded investment,,,,
Lease receivables,"$ 3,419","$ 1,186",$ 963,"$ 5,567"
Loan receivables,"6,726","3,901","2,395","13,022"
Ending balance,"$10,144","$5,087","$3,359","$18,590"
"Recorded investment, collectively evaluated for impairment","$10,032","$5,040","$3,326","$18,399"
"Recorded investment, individually evaluated for impairment",112,47,32,191
Allowance for credit losses,,,,
"Beginning balance at January 1, 2019",,,,
Lease receivables,,$ 53,$ 22,$ 24
Loan receivables,105,43,32,179
Total,$158,$65,$56,$279
Write-offs,(42),(3),(18),(63)
Recoveries,1,,1,2
Additions/(releases),5,-7,-3,-5
Other*,-1,0,-1,-2
"Ending balance at December 31, 2019",$ 120,$ 54,$ 36,$ 210
Lease receivables,,$ 33,$ 23,$ 16
Loan receivables,88,31,20,138
"Related allowance, collectively evaluated for impairment",,$ 25,$ 11,$ 4
"Related allowance, individually evaluated for impairment",,$ 96,$ 43,$ 32
