($ in millions),For the fourth quarter:,2020,2019,Yr-to-Yr. Percent/Margin Change,Yr-to-Yr. Percent Change Adjusted for Currency
Revenue,Cloud & Cognitive Software,"$ 6,837","$ 7,160 *",(4.5)%,(6.6)%
Gross margin,,79.8 %,79.5 %*,0.2 pts.,
Global Business Services,,"4,170","4,285 *",(2.7)%,(5.2)%
Gross margin,,30.1 %,27.6 %*,2.6 pts.,
Global Technology Services,,"6,568","6,949",(5.5)%,
,,,,,
,,,,,
Gross margin,,35.9 %,35.2 %,0.7 pts.,
Systems,,"2,501","3,042",(17.8)%,(19.4)%
Gross margin,,59.9 %,56.0 %,3.8 pts.,
Global Financing,,286,301,(4.8)%,(6.0)%
Gross margin,,33.8 %,35.6 %,(1.8)pts.,
Other,,"6,40 *",(84.2)%*,(84.8)%,(84.1)%
Gross margin,,NM,NM,,
Total consolidated revenue,,"$ 20,367","$ 21,777",(6.5)%**,(8.6)%
Total consolidated gross profit,,"$ 10,523","$ 11,100",(5.2)%,
Total consolidated gross margin,,51.7 %,51.0 %,,
Non-operating adjustments,Amortization of acquired intangible assets,177,189,(6.5)%,
Spin-off-related charges,,1,二,NM,
Operating (non-GAAP) gross profit,,"$ 10,700","$ 11,289",(5.2)%,
Operating (non-GAAP) gross margin,,52.5 %,51.8 %,,
