,Defined Benefit Pension Plans,Defined Benefit Pension Plans,Defined Benefit Pension Plans,Defined Benefit Pension Plans,Nonpension Postretirement Benefit Plans,Nonpension Postretirement Benefit Plans,Nonpension Postretirement Benefit Plans,Nonpension Postretirement Benefit Plans
,U.S. Plans,U.S. Plans,Non-U.S.Plans,Non-U.S.Plans,U.S. Plan,U.S. Plan,Non-U.S.Plans,Non-U.S.Plans
,2020,2019,2020,2020,2020,2020,2020,2020
Net loss at January1,"$16,608","$17,476","$17,272","2019 $18,452",$551,2019 $405,$287,2019 $172
Current period loss/(gain),194,(309),"1,338",109,135,147,(2),125
Curtailments and settlements,,1,(52),(41),,二,0,0
Amortization of net loss included in net,,,,,,,,
periodic (income)/cost Net loss at December 31,(829),"(559) $16,608","(1,406) $17,151","(1,249) $17,272",(29) $656,(1),(21),(10)
Prior service costs/(credits) at January1,"$15,972 $ 41",$ 57,$ 297,$ 172,$34,$551 $52,$264 $(4),$287 $4
Current period prior service costs/(credits),,1,37,102,,(21),,(8)
"Curtailments,settlements and other",,1,,0,1 一,二,一,二
Amortization of prior service (costs)/credits,,,,,,,,
included in net periodic (income)/cost,(16),(16),,8,23 (4),2,0,0
Prior service costs/(credits) at,,,,,,,,
December 31,$ 24,$,41 $,342 $,297 $30,$34,$ (4),$ （4)
Transition (assets)/liabilities at January1 Amortization of transition assets/(liabilities),$ 1,$,1 $,0 $,0 $,一 $ 1,$ 0,$ 0
included in net periodic (income)/cost,一,,一,0,0,一,0,
Transition (assets)/liabilitiesat,,,,,,,,1
December31,$,$ 一,$,0 $,0 $,,$ 0,0
Total loss recognized in accumulated,,,,,,,,
,"$15,997",,"$17,493","$17,569",$687,$585,,
other comprehensive income/(loss)*,,"$16,648",,,,,$260,$283
