,,Acquisition- Related,Retirement- Related,U.S. Tax Reform,Spin-off- Related,Operating
For the fourth quarter 2020:,"GAAP $10,523",Adjustments $177,Adjustments $,Impacts $ 一,Charges,"(non-GAAP) $10,700"
Gross profit Gross profit margin,51.7 %,0.9 pts.,-pts.,- pts.,0.0 pts.,52.5%
SG&A,"$7,232 *",$(287),$ 1,$,$ (28),"$6,917*"
RD&E,"1,611",1,,,1,"1,611"
Other(income) and expense,247,(1),(295),,一,(48)
Interest expense,317,1,1,,1,317
Total expense and other (income),"9,234 *",(288),(295),,(28),"8,623 *"
Pre-tax income from continuing operations,"1,289 *",465,295,,28,"2,077 *"
Pre-tax margin from continuing operations,6.3%,2.3 pts.,1.4 pts.,-pts.,0.1 pts.,10.2 %
Provision for income taxes**,$ 25,$105,$96,$ (18),$ 7,$ 216
Effective tax rate,1.9 %,4.6 pts.,4.4 pts.,(0.9)pts.,0.3 pts.,10.4%
Income from continuing operations,"$1,264 *",$359,$198,$18,$21,"$1,861 *"
Income margin from continuing operations,6.2%,1.8 pts.,1.0 pts.,0.1 pts.,0.1 pts.,9.1%
Diluted earnings per share from continuing operations,$ 1.41 *,$0.40,$0.22,$0.02,$0.02,$ 2.07*
