,Common Stock and Additional Paid-in,,,,,,
,Common Stock and Additional Paid-in,Retained,Treasury,Accumulated Other Comprehensive,Total IBM Stockholders',Non- Controlling,Total
2020,Capital,Earnings,Stock,Income/(Loss),Equity,Interests,Equity
"Equity,January1,2020","$55,895","$162,954","4$(169,413)","$(28,597)","$20,841",,"$144 $20,985"
Cumulative effect of change in accounting principle*,,(66),,,(66),,(66)
Net income plus other comprehensive income/(loss),,,,,,,
Net income,,"5,590",,,"5,590",,"5,590"
Other comprehensive income/(loss),,,,(740),(740),,(740)
Total comprehensive income/(loss),,,,,"$4,850",,"$ 4,850"
Cash dividends paid-common stock,,,,,,,
($6.51 per share) Common stock issued under employee,,"(5,797)",,,"(5,797)",,"(5,797)"
"plans (4,972,028 shares)",661,,,,661,,661
"Purchases (2,363,966 shares) and sales",,,,,,,
"(2,934,907 shares) of treasury stock under employee plans-net",,36,74,,110,,110
Changes in noncontrolling interests,,,,,,(15),(15)
,,,"$56,556 $162,717 $(169,339)",,,,
"Equity,December 31,2020",,,,"$(29,337)","$20,597",,"$129 $20,727"
