($inmillions),2020,2019,2018
Fortheyearended December31: Cloud & Cognitive Software,,,
Software,"$19,107","$18,649*","$17,906"
Services,"4,159","4,076 *","3,795"
Systems,,166,156
Global Business Services,110,,
Services,"$15,896","$16,527*","$16,439"
Software,180,156,151
Systems,86,115,206
Global Technology Services,,,
Services,"$19,632","$20,768","$22,222"
Maintenance,"4,815","5,183",
Systems,967,"1,072","5,484"
Software,,338,"1,069"
,399,,371
Systems,,,
Servers Storage,"$3,466","$3,746","$3,996"
Software,"1,801 1,359","1,920 1,528","2,114"
Services,351,410,"1,499"
Global Financing,,,425
Financing Used equipment sales,$ 834 289,"$1,120 281","$1,223 366"
