Yr-to-Yr. Percent/Margin Change,For the fourth quarter:,2020,2019
Revenue,"$20,367","$21,777",
Gross profit margin,51.7 %,51.0 %,
Total expense and other (income),"$ 9,234 **","$ 7,107",
Income from continuing operations before income taxes,"$ 1,289 **","$ 3,993",
Provision for income taxes from continuing operations,$ 25,$ 324,
Income from continuing operations,"$ 1,264 **","$ 3,669",
Income from continuing operations margin,6.2 %,16.8 %,
"Income from discontinued operations, net of tax +",$ 92,$ 0,
Net income,"$ 1,356 **","$ 3,670",
Earnings per share from continuing operations—assuming dilution,$ 1.41 **,$ 4.11,
Weighted-average shares outstanding—assuming dilution,899.0,893.7,
