,U.S.Plan,U.S.Plan,U.S.Plan,U.S.Plan,Non-U.S.Plans,Non-U.S.Plans,Non-U.S.Plans,Non-U.S.Plans
,Level1,Level2,Level3,Total,Level1,Level2,Level3,Total
Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity
Equity securities(1),"$2,714",$ 0,$,"$ 2,714",$474,0,$,$ 474
Equity mutual funds(2),105,一,一,105,0,,一,0
Fixed income,Fixed income,Fixed income,Fixed income,Fixed income,Fixed income,Fixed income,Fixed income,Fixed income
Government and related(3),,"21,375",,"21,375",,"9,760",2,"9,762"
Corporate bonds(4),,"18,217",542,"18,759",,"3,725",,"3,725"
Mortgage and asset-backed securities,,612,,612,,3,,3
Fixed income mutual funds(5),470,,,470,,,,
Insurance contracts(6),一,一,,1,一,"6,675",,"6,675"
Cash and short-term investments(),76,"1,001",,"1,077",352,651,,"1,002"
Real estate,,,,,,一,298,298
Derivatives(8),(3),18,,15,69,521,1,590
Other mutual funds(9),,,,,29,,,29
Subtotal,"3,363","41,222",542,"45,128",923,"21,335",300,"22,559"
Investments measured at net asset value using the NAV practical,Investments measured at net asset value using the NAV practical,Investments measured at net asset value using the NAV practical,Investments measured at net asset value using the NAV practical,Investments measured at net asset value using the NAV practical,Investments measured at net asset value using the NAV practical,Investments measured at net asset value using the NAV practical,Investments measured at net asset value using the NAV practical,Investments measured at net asset value using the NAV practical
expedient(10) Other(11),,,,"9,579 (321)",,,,"21,313"
Fair value of plan assets,"$3,363","$41,222",$542,"$54,386",$923,"$21,335",$300,"(39) $43,832"
