($ in millions),For the year ended December 31:,2020,2019,Yr-to-Yr. Percent Change
Retirement-related plans-cost,Service cost,$ 406,$ 385,5.5 %
,Multi-employer plans,29,32,(7.9)
,Cost of defined contribution plans,"1,058","1,040",1.8
Total operating costs/(income),Total operating costs/(income),"$ 1,494","$ 1,457",2.5 %
,Interest cost,"$ 2,203","$ 2,929",(24.8)%
,Expected return on plan assets,"(3,448)","(4,192)",(17.8)
,Recognized actuarial losses,"2,285","1,819",25.7
,Amortization of prior service costs/(credits),13,(9),NM
,Curtailments/settlements,52,41,28.4
,Other costs,18,28,(37.9)
Total non-operating costs/(income),Total non-operating costs/(income),"$ 1,123",$ 615,82.5 %
Total retirement-related plans-cost,Total retirement-related plans-cost,"$ 2,617","$ 2,072",26.3 %
