($ in millions),Cloud & Cognitive Software,Global Business Services,Global Technology Services,Systems,Global Financing,Total Segments
For the year ended December 31:,Cloud & Cognitive Software,Global Business Services,Global Technology Services,,,
2020,Cloud & Cognitive Software,Global Business Services,Global Technology Services,Systems,Global Financing,Total Segments
External revenue,"$23,376","$16,162","$25,812","$6,978","$1,123","$73,451"
Internal revenue,"$3,169",193,"$1,226",824,894,"$6,306"
Total revenue,"$26,545","$16,355","$27,039","$7,802","$2,017","$79,758"
Pre-tax income from continuing operations+,"$6,362","$1,351",117,449,761,"$9,040"
Revenue year-to-year change,3.2 %,-4.2 %,-5.2 %,-6.3 %,-23.4 %,-3.1 %
Pre-tax income year-to-year change,-18.5 %,-16.8 %,-92.9 %,-36.0 %,-27.8 %,-29.6 %
Pre-tax income margin,24.0 %,8.3 %,0.4 %,5.8 %,37.7 %,11.3 %
