For year ended December 31:,2020,2019,Yr.-to-Yr. Percent/Margin Change
Revenue,"$73,620","$77,147",(4.6)%*
Gross profit margin,48.3%,47.3%,1.0 pts.
Total expense and other (income),"$30,937 **","$26,322",17.5%
Income from continuing operations before income taxes,"$ 4,637 **","$10,166",(54.4)%
Provision for/(benefit from) income taxes from continuing operations,$ (864),$ 731,NM
Income from continuing operations,"$ 5,501 **","$ 9,435",(41.7)%
Income from continuing operations margin,7.5 %,12.2%,(4.8)pts.
"Income/(loss) from discontinued operations, net of tax+",$ 89,$ （4),NM
Net income,"$ 5,590 **","$ 9,431",(40.7)%
Earnings per share from continuing operations-assuming dilution,$ 6.13 **,$10.57,(42.0)%
Weighted-average shares outstanding-assuming dilution,896.6,892.8,0.4%
Assets++,"$155,971","$152,186",2.5%
Liabilities++,"$135,244","$131,202",3.1%
Equity++,"$ 20,727","$20,985",(1.2)%
