,,,Yr.-to-Yr. Percent Change
For the fourth quarter:,2020,2019,Yr.-to-Yr. Percent Change
Net income as reported,"$1,356 *","$3,670",(63.0)%
"Income from discontinued operations,net of tax** Income from continuing operations","92 $1,264 *",0,NM (65.5)%
Non-operating adjustments (net of tax),,"$3,669",
Acquisition-related charges,359,376,(4.4)
Non-operating retirement-related costs/(income),198,175,13.4
U.S.tax reform impacts,18,(14),NM
Spin-off-related charges,21,二,NM
Operating (non-GAAP) earnings,"$1,861 *","$4,206",(55.8)%
Diluted operating (non-GAAP) earnings per share,$ 2.07 *,$4.71,(56.1)%
