(All in millions),,,
Defined Benefit Pension Plans,,,
U.S. Plans Non-U.S. Plans,,,
2020,2019,2020,2019
"Net loss at January 1 $16,608","$17,476","$17,272","$18,452"
Current period loss/(gain) 194,(309),"1,338",109
Curtailments and settlements —,—,(52),(41)
Amortization of net loss included in net periodic (income)/cost (829),(559),"(1,406)","(1,249)"
"Net loss at December 31 $15,972","$16,608","$17,151","$17,272"
Prior service costs/(credits) at January 1 $ 41 $ 57 $ 297 $,,,172
Current period prior service costs/(credits) —,—,37,102
"Curtailments, settlements and other —",—,0,—
Amortization of prior service (costs)/credits included in net periodic (income)/cost (16),(16),8,23
Prior service costs/(credits) at December 31 $ 24 $ 41 $ 342 $,,,297
Transition (assets)/liabilities at January 1 $ — $ — $ 0 $,,,0
Amortization of transition assets/(liabilities) included in net periodic (income)/cost —,—,0,0
Transition (assets)/liabilities at December 31 $ — $ — $ 0 $,,,0
"Total loss recognized in accumulated other comprehensive income/(loss)* $15,997","$16,648","$17,493","$17,569"
Nonpension Postretirement Benefit Plans,,,
U.S. Plan Non-U.S. Plans,,,
2020,2019,2020,2019
Net loss at January 1 $551,$405,$287,$172
Current period loss/(gain) 135,147,(2),125
Curtailments and settlements —,—,0,0
Amortization of net loss included in net periodic (income)/cost (29),(1),(21),(10)
Net loss at December 31 $656,$551,$264,$287
Prior service costs/(credits) at January 1 $ 34 $ 52 $ (4) $,,,4
Current period prior service costs/(credits) —,(21),—,—
"Curtailments, settlements and other —",—,—,—
Amortization of prior service (costs)/credits included in net periodic (income)/cost (4),2,0,0
Prior service costs/(credits) at December 31 $ 30 $ 34 $ (4) $,,,(4)
Transition (assets)/liabilities at January 1 $ — $ — $ 0 $,,,0
Amortization of transition assets/(liabilities) included in net periodic (income)/cost —,—,0,0
Transition (assets)/liabilities at December 31 $ — $ — $ 0 $,,,0
Total loss recognized in accumulated other comprehensive income/(loss)* $687,$585,$260,$283
