U.S. Plan,Level 1,Level 2,Level 3,Total
Equity,Equity securities,"$1,943",$,"$,$1,943"
Equity mutual funds,85,$,$,85
Fixed income,Government and related,$,"$21,134","$,$21,134"
Corporate bonds,$,"$16,666",$518,"$17,185"
Mortgage and asset-backed securities,$,$630,$,$630
Fixed income mutual funds,$386,$,$,$386
Insurance contracts,$,$,$,"$,$1,862"
Cash and short-term investments,$54,$848,$,$903
Real estate,$,$,$,"$,$,$328"
Derivatives,$,$6,$,$6
Other mutual funds,$,$,$,"$,$25"
Subtotal,"$2,469","$39,284",$518,"$42,271"
Investments measured at net asset value using the NAV practical expedient,$,$,$,"$9,519"
Other,$,$,$,$(6)
Fair value of plan assets,"$2,469","$39,284",$518,"$51,784"
Non-U.S. Plans,Level 1,Level 2,Level 3,Total
Equity,Equity securities,"$2,209",$,"$,$2,209"
Equity mutual funds,$,$,$,$
Fixed income,Government and related,$,"$10,288","$2,$10,290"
Corporate bonds,$,$,"$2,124","$2,124"
Mortgage and asset-backed securities,$,$,$19,$19
Fixed income mutual funds,$,$,$,$
Insurance contracts,$,$,"$1,862","$1,862"
Cash and short-term investments,$204,$644,$,$849
Real estate,$,$,$,"$,$328"
Derivatives,$,$18,$969,$987
Other mutual funds,$,$,$,$25
Subtotal,"$2,456","$15,907",$330,"$18,693"
Investments measured at net asset value using the NAV practical expedient,$,$,$,"$21,653"
Other,$,$,$,$(26)
Fair value of plan assets,"$2,456","$15,907",$330,"$40,319"
