Net Unrealized Gains/(Losses) on Cash Flow Hedges,Foreign Currency Translation Adjustments *,Net Change Retirement-Related Benefit Plans,Net Unrealized Gains/(Losses) on Available-For-Sale Securities,Accumulated Other Comprehensive Income/(Loss)
"December 31, 2017",$ 35,"$(2,834)","$(23,796)","$ 3,$(26,592)"
Cumulative effect of a change in accounting principle**,5,46,"(2,471)","(2),(2,422)"
Other comprehensive income before reclassifications,(93),(902),"(2,092)","(1),(3,089)"
Amount reclassified from accumulated other comprehensive income,337,—,"2,276","—,2,612"
Total change for the period,244,(902),184,"(1),(476)"
"December 31, 2018",284,"(3,690)","(26,083)","0,(29,490)"
Other comprehensive income before reclassifications,(522),(10),(131),"1,(663)"
Amount reclassified from accumulated other comprehensive income,59,—,"1,496","—,1,556"
Total change for the period,(463),(10),"1,365","1,893"
"December 31, 2019",(179),"(3,700)","(24,718)","0,(28,597)"
Other comprehensive income before reclassifications,(261),(965),"(1,412)","0,(2,638)"
Amount reclassified from accumulated other comprehensive income,(16),—,"1,914","—,1,898"
Total change for the period,(277),(965),501,"0,740"
"December 31, 2020",(456),"(4,665)","(24,216)","0,(29,337)"
