,ClientFinancingReceivables,ClientFinancingReceivables,Commercial Financing,
,Client Loan and Installment Payment Receivables/,Investment in Sales-Type and Direct Financing,Commercial Financing,
"AtDecember31,2019:",(Loans),Leases,Receivables,Total
"Financing receivables,gross Unearned income","$13,592 (570)","$6,077 (509)","$3,836 (4)","$23,504 (1,083)"
Recorded investment,"$13,022","$5,567","$3,831","$22,421"
Allowance for credit losses,(138),(72),(11),(221)
Unguaranteed residual value,二,652,二,652
Guaranteed residual value,二,53,二,53
"Total financing receivables, net","$12,884","$6,199","$3,820","$22,904"
Current portion,"$8,037","$2,334","$3,820","$14,192"
Noncurrent portion,"$4,847","$3,865",$ 二,"$8,712"
