,Gain/(Loss) Recognized in Consolidated Income Statement,Gain/(Loss) Recognized in Consolidated Income Statement,Gain/(Loss) Recognized in Consolidated Income Statement,Gain/(Loss) Recognized in Consolidated Income Statement,Gain/(Loss) Recognized in Consolidated Income Statement,Gain/(Loss) Recognized in Consolidated Income Statement,Gain/(Loss) Recognized in Consolidated Income Statement,Gain/(Loss) Recognized in Consolidated Income Statement
,Consolidated,,Recognized on,Recognized on,,Attributable to Risk Being Hedged(2）,Attributable to Risk Being Hedged(2）,Attributable to Risk Being Hedged(2）
For the year ended December 31:,Income Statement Line Item,,Derivatives,2018,,2020,2019,2018
,,2020,2019,,,,,
Derivative instruments in fair value hedges (),,,,,,4,$(32),$97
Interest rate contracts,Cost of financing,$20,$44,$(61),$,11,(71),92
Derivative instruments not designated as hedging,Interest expense,58,98,,(58),,,
instruments,,,,,,,,
,Other (income),,,,,,,
Foreign exchange contracts,and expense,1,(53),,(93),N/A N/A,N/A,N/A
Equity contracts,SG&Aexpense,142,214,,(116),$14,N/A $(103),N/A
Total,,$220,$302,$(327),,,,$189
