,Cloud& Cognitive Software,Global Business,Global Technology,,Global,Total
For the year ended December 31: 2020,,Services,Services,Systems,Financing,Segments
Assets,"$58,752","$10,290","$21,971","$4,620","$25,075","$120,708"
Depreciation/amortization of intangibles**,"1,168",180,"2,605",343,119,"4,415"
Capital expenditures/investments in intangibles,548,28,"2,039",249,41,"2,906"
Interest income,,一,,一,"1,058","1,058"
Interest expense,,,一,,307,307
2019,,,,,,
Assets,"$58,342 *","$10,136 *","$22,436","$4,590","$29,568","$125,072 *"
Depreciation/amortization of intangibles**,"1,089 *",167*,"2,601",350,186,"4,392"
Capital expenditures/investments in intangibles,517*,47 *,"1,575",305,57,"2,501"
Interest income,1,1,1,1,"1,490","1,490"
Interest expense,1,1,1,1,512,512
2018,,,,,,
Assets,"$28,502 *","$8,443 *","$17,624","$4,030","$41,320","$99,920"
Depreciation/amortization of intangibles**,"1,051 *",108*,"2,359",315,229,"4,063"
Capital expenditures/investments in intangibles,468*,58*,"2,569",241,274,"3,610"
Interest income,二,二,二,二,"1,647","1,647"
Interest expense,1,1,1,1,515,515
