,BeforeTax,Tax(Expense)/,Net of Tax
"For the year ended December 31,2018:",Amount,Benefit,Amount
Other comprehensive income/(loss),$(730),$(172),$(902)
Foreign currency translation adjustments Net changesrelatedtoavailable-for-sale securities,,,
Unrealized gains/(losses)arising during the period,,$1,$ (1
Reclassification of (gains)/losses to other (income) and expense,$ (2),,二
Total net changes related to available-for-sale securities,二 $ (2),1 $1,$ (1
Unrealized gains/(losses) on cash flow hedges,,,
Unrealized gains/(losses)arising during the period,$ (136),$43,$ (93)
Reclassification of (gains)/losses to: Cost of services,,8,(22)
Cost of sales,(30） (8),3,(5)
Cost offinancing,75,(19),56
SG&A expense,0,0,0
Other (income) and expense,341,(86),255
Interest expense,71,(18),53
Total unrealized gains/(losses) on cash flow hedges,,$(69),$244
Retirement-related benefit plans(),$313,,
Prior service costs/(credits),,$31,
Net (losses)/gains arising during the period,"$(182) (2,517)",576,"$(151) (1,941)"
Curtailments and settlements,11,(2),9
Amortization of prior service (credits)/costs,（73),5,(68)
Amortization of net (gains)/losses,"2,966",(632),"2,334"
Total retirement-related benefit plans,$204,$ (21),$184
Other comprehensive income/(loss),$(215),$(262),$(476)
