,U.S. Plan,U.S. Plan,U.S. Plan,U.S. Plan,Non-U.S.Plans,Non-U.S.Plans,Non-U.S.Plans,Non-U.S.Plans
,Level1,Level 2,Level3,Total,Level1,Level2,Level3,Total
Equity,,,,,,,,
Equity securities(),"$1,943",$,$ 一,"$1,943","$2,209",$ 0,$ 1,"$2,209"
Equity mutual funds(2),85,,1,85,1,1,1,1
Fixed income,,,,,,,,
Government and related(3),二,"21,134",1,"21,134",一,"10,288",2,"10,290"
Corporate bonds(4),1,"16,666",518,"17,185",1,"2,124",二,"2,124"
Mortgage and asset-backed securities,1,630,二,630,1,19,二,19
Fixed income mutual funds(5),386,1,1,386,1,1,1,1
Insurance contracts,二,二,1,1,1,"1,862",二,"1,862"
Cash and short-term investments(6),54,848,1,903,204,644,二,849
Real estate,二,二,二,1,1,二,328,328
Derivatives(7),0,6,1,6,18,969,二,987
Other mutual funds(8),二,二,二,二,25,0,二,25
Subtotal,"2,469","39,284",518,"42,271","2,456","15,907",330,"18,693"
Investments measured at net asset value using the NAV practical,,,,,,,,
expedient(9),,,,"9,519",,,,"21,653"
Other(10) Fair value of plan assets,"一 $2,469","一 $39,284",1 $518,"(6) $51,784","$2,456","1 $15,907",1 $330,"(26) $40,319"
