Notes,2020,2019,2018
Revenue,Services,"$45,004","$47,493,$49,257"
Revenue,Sales,"27,484","28,252,28,735"
Revenue,Financing,"1,133","1,402,1,599"
Revenue,Total revenue,C,"73,620,77,147,79,591"
Cost,Services,30,"404,32,491,33,367"
Cost,Sales,6,"934,7,263,7,835"
Cost,Financing,708,"904,1,132"
Cost,Total cost,38,"046,40,659,42,655"
Cost,Gross profit,35,"575,36,488,36,936"
Expense and other (income),Selling, general and administrative,"23,082,20,604,19,366"
Expense and other (income),Research, development and engineering,"F,6,333,5,989,5,379"
Expense and other (income),Intellectual property and custom development income,,"-626,-648,-1,026"
Expense and other (income),Other (income) and expense,861,"-968,1,152"
Expense and other (income),Interest expense,P&T,"1,288,1,344,723"
Expense and other (income),Total expense and other (income),30,"937,26,322,25,594"
Income from continuing operations before income taxes,4,637,"10,166,11,342"
Provision for/(benefit from) income taxes,G,-864,"731,2,619"
Income from continuing operations,5,501,"9,435,8,723"
Income/(loss) from discontinued operations, net of tax,89,"-4,5"
Net income,"$ 5,590","$ 9,431","$ 8,728"
Earnings/(loss) per share of common stock,Assuming dilution,Continuing operations,"H,$ 6.13,$ 10.57,$ 9.51"
Earnings/(loss) per share of common stock,Assuming dilution,Discontinued operations,"H,0.10,-0.01,0.01"
Earnings/(loss) per share of common stock,Assuming dilution,Total,"H,$ 6.23,$ 10.56,$ 9.52"
Earnings/(loss) per share of common stock,Basic,Continuing operations,"H,$ 6.18,$ 10.63,$ 9.56"
Earnings/(loss) per share of common stock,Basic,Discontinued operations,"H,0.10,0.00,0.01"
Earnings/(loss) per share of common stock,Basic,Total,"H,$ 6.28,$ 10.63,$ 9.57"
Weighted-average number of common shares outstanding,Assuming dilution,896,"563,971,892,813,376,916,315,714"
Weighted-average number of common shares outstanding,Basic,890,"348,679,887,235,105,912,048,072"
