,Common Stock and Additional,Common Stock and Additional,Common Stock and Additional,Common Stock and Additional,Accumulated Other Total IBM,Accumulated Other Total IBM,Accumulated Other Total IBM,Accumulated Other Total IBM
,Paid-in Capital,Retained Earnings,Treasury Stock,Comprehensive Income/(Loss),Stockholders' Equity,Non- Controlling Interests,Total Equity,
2018,,,,,,,,
"Equity,January1,2018 Cumulative effect of change in","$54,566 $153,126 $(163,507)",,,"$(26,592)","$17,594",,"$131 $17,725",
accounting principle,,,,,,,,
Revenue* Stranded tax effects/other*,,"580 2,422",,"(2,422)",,580,580,
Net income plus other comprehensive,,,,,,,,
income/(loss),,"8,728",,,,,,
Net income Other comprehensive income/(loss),,,,,(476),"8,728 (476)","8,728",
Total comprehensive income/(loss),,,,,"$8,252",,"(476) $8,252",
Cash dividends paid-common stock,,"(5,666)",,,,,,
"($6.21 per share) Common stock issued under employee plans (3,998,245 shares)",585,,,,,"(5,666) 585","(5,666) 585",
"Purchases (1,173,416 shares)and sales (424,589 shares) of treasury stock",,,,,,,,
"under employee plans-net Other treasury shares purchased, not",,15,(117),,,(103),(103),
"retired (32,949,233 shares) Changes in otherequity",0,,"(4,447) 0",,,"(4,447) 0","(4,447) 0",
Changes in noncontrolling interests,,,,,,,3 3,
"Equity,December 31,2018",,"$55,151 $159,206 $(168,071)",,,"$(29,490)","$16,796","$134 $16,929",
