,Client Financing Receivables,Client Financing Receivables,Commercial Financing,
,Client Loan and Installment Payment Receivables/,Investment in Sales-Type and Direct Financing,Commercial Financing,
"At December 31,2020:",(Loans),Leases,Receivables,Total
"Financing receivables,gross","$12,159 (488)","$4,001 (335)","$2,419 0","$18,580 (823)"
Unearned income Residual value*,,485,,485
,"$11,671","$4,151","$2,419","$18,242"
Amortized cost Allowance for credit losses,(173),(82),(8),(263)
"Total financing receivables, net","$11,498","$4,069","$2,411","$17,979"
Current portion,"$6,955","$1,525","$2,411","$10,892"
Noncurrent portion,"$ 4,542","$2,544",$ 一,"$ 7,086"
