Net Unrealized Gains/(Losses) on Cash Flow Hedges,Foreign Currency Translation Adjustments *,Net Change Retirement-Related Benefit Plans,Net Unrealized Gains/(Losses) on Available-For-Sale Securities,Accumulated Other Comprehensive Income/(Loss)
"December 31, 2017",$ 35,"$(2,834)","$(23,796)",$ 3
Cumulative effect of a change in accounting principle**,5,46,"(2,471)",(2)
Other comprehensive income before reclassifications,(93),(902),"(2,092)",(1)
Amount reclassified from accumulated other comprehensive income,337,—,"2,276",—
Total change for the period,244,(902),184,(1)
"December 31, 2018",284,"(3,690)","(26,083)",0
Other comprehensive income before reclassifications,(522),(10),(131),1
Amount reclassified from accumulated other comprehensive income,59,—,"1,496",—
Total change for the period,(463),(10),"1,365",1
"December 31, 2019",(179),"(3,700)","(24,718)",0
Other comprehensive income before reclassifications,(261),(965),"(1,412)",0
Amount reclassified from accumulated other comprehensive income,(16),—,"1,914",—
Total change for the period,(277),(965),501,0
"December 31, 2020",(456),"(4,665)","(24,216)",0
