,GAAP,Acquisition- Related Adjustments,Retirement- Related Adjustments,U.S. Tax Reform Impacts,Spin-off- Related Charges,Operating (non-GAAP)
"For the year ended December 31,2019: Gross profit","$36,488",$547,$ 1,$-,$-,"$37,035"
Gross profit margin,47.3%,0.7 pts.,-pts.,-pts.,-pts.,48.0%
SG&A,"$20,604","$(1,044)",$ 1,$ 1,$ 二,"$19,560"
RD&E,"5,989",(53),1,1,1,"5,936"
Other (income) and expense,(968),152,(615),1,1,"(1,431)"
Interest expense,"1,344",(228),1,1,1,"1,116"
Total expense and other (income),"26,322","(1,173)",(615),1,1,"24,533"
Pre-tax income from continuing operations,"10,166","1,721",615,1,1,"12,503"
Pre-tax margin from continuing operations,13.2%,2.2 pts.,0.8 pts.,-pts.,-pts.,16.2%
Provision for income taxes* Effective taxrate,$ 731,$378,$103,$(146),$ 二,"$1,067"
Income from continuing operations,"7.2% $9,435","2.0 pts. $1,343",0.5 pts. $512,(1.2)pts.,-pts. $,"8.5% $11,436"
Income margin from continuing operations,12.2%,1.7 pts.,0.7 pts.,$146 0.2 pts.,二 -pts.,14.8%
Diluted earnings per share from continuing operations,$10.57,$1.50,$0.58,$0.16,$ 1,$ 12.81
