For the year ended December31:,2020,2019,2018
Net cash from operating activities per GAAP,$18.2,$14.8,$15.2
Less: the change in Global Financing receivables,4.3,0.5,（0.3）
"Net cash from operating activities,excluding Global Financing receivables",13.8,14.3,15.6
"Capital expenditures,net",(3.0),(2.4),(3.7)
Free cash flow (FCF),10.8,11.9,11.9
Acquisitions,(0.3),(32.6),(0.1)
Divestitures,0.5,1.1,二
Share repurchase,1,(1.4),(4.4)
Common stock repurchases for tax withholdings,(0.3),(0.3),(0.2)
Dividends,(5.8),(5.7),(5.7)
Non-Global Financing debt,0.2,22.8,（0.5）
Other (includes Global Financing receivables and Global Financing debt),0.2,1.0,(1.6)
"Change in cash, cash equivalents,restricted cash and short-term",$5.3,,
marketablesecurities FCF as percent of Income from Continuing Operations,196%*,$ (3.2) 126%,$(0.6) 136%**
