,,Acquisition- Related,Retirement- Related Adjustments,U.S.Tax Reform,Spin-off- Related,Operating
For the fourth quarter 2019: Gross profit,"GAAP $11,100",Adjustments $189,$ 1,Impacts $ 1,Charges $-,"(non-GAAP) $11,289"
Gross profit margin,51.0%,0.9 pts.,-pts.,-pts.,-pts.,51.8%
SG&A,"$5,433",$(320),$ 1,$ 1,$-,"$5,113"
RD&E,"1,596",0,1,1,1,"1,596"
Other (income) and expense,(117),(1),(196),1,1,(314)
Interest expense,354,二,1,一,1,354
Total expense and other (income),"7,107",(320),(196),1,1,"6,591"
Pre-tax income from continuing operations,"3,993",509,196,1,1,"4,698"
Pre-tax margin from continuing operations,18.3%,2.3 pts.,0.9 pts.,-pts.,-pts.,21.6%
Provision for income taxes*,$ 324,$133,$21,$14,$-,$ 492
Effective taxrate,8.1%,2.0 pts.,0.1 pts.,0.3 pts.,-pts.,10.5%
Income from continuing operations Income margin from continuing operations,"$3,669 16.8%",$376 1.7 pts.,$175 0.8 pts.,$(14) (0.1)pts.,$- -pts.,"$4,206 19.3%"
Diluted earnings per share from continuing operations,$ 4.11,$0.42,$0.20,$(0.02),$1,$4.71
