($ in millions),2020,2019,2018
Cloud & Data Platforms,"$11,481 **","$ 9,499","$ 8,603"
Cognitive Applications,"$5,290","$5,456 *","$5,280 *"
Transaction Processing Platforms,"$6,606","$7,936","$7,974"
Total Cloud & Cognitive Software,"$23,376","$22,891 *","$21,857 *"
Consulting,"$8,083","$8,157 *","$7,906 *"
Application Management,"$7,133","$7,646","$7,852"
Global Process Services,$945,$995,"$1,037"
Total Global Business Services,"$16,162","$16,798 *","$16,795 *"
Infrastructure & Cloud Services,"$19,669","$20,736","$22,185"
Technology Support Services,"$6,144","$6,625","$6,961"
Total Global Technology Services,"$25,812","$27,361","$29,146"
Systems Hardware,"$5,481","$5,918","$6,363"
Operating Systems Software,"$1,497","$1,686","$1,671"
Total Systems,"$6,978","$7,604","$8,034"
Global Financing +,"$1,123","$1,400","$1,590"
Other,$169,"$1,092 *","$2,169 *"
Total Revenue,"$73,620","$77,147","$79,591"
