,Nonpension Postretirement Benefit Plans,Nonpension Postretirement Benefit Plans,Nonpension Postretirement Benefit Plans,Nonpension Postretirement Benefit Plans,Nonpension Postretirement Benefit Plans,
,U.S.Plan,U.S.Plan,U.S.Plan,Non-U.S.Plans,Non-U.S.Plans,Non-U.S.Plans
Weighted-average assumptions used to measure net periodic,2020,2019,2018,2020,2019,2018
cost for the year ended December 31,,,,,,
Discount rate,2.80%,3.90%,3.30%,4.98 %,7.48%,7.28%
Expected long-term returns on plan assets,N/A,N/A,N/A,7.51 %,8.64%,8.91%
Interest crediting rate,2.70%,3.60%,2.30%,N/A,N/A,N/A
Weighted-average assumptions used to measure benefit obligations at December 31,,,,,,
Discount rate,1.80 %,2.80%,3.90%,4.46 %,4.98%,7.48%
Interest crediting rate,1.10 %,2.70%,3.60%,N/A,N/A,N/A
