($in millions),2019 2018
For the year ended December31: Cloud& Data Platforms,"2020 $11,481 ** $9,499"
,"$8,603 5,290 5,280"
Cognitive Applications,"5,456*"
Transaction Processing Platforms Total Cloud& Cognitive Software,"6,606 7,936 7,974"
"$23,376","$22,891 * $21,857"
"Consulting $8,083","$8,157* $7,906"
"Application Management 7,133 Global Process Services","7,646 7,852"
,"945 995 1,037"
"Total Global Business Services $16,162","$16,798 * $16,795"
"Infrastructure & Cloud Services $19,669 Technology Support Services","$20,736 $22,185"
,"6,144 6,625 6,961 $25,812 $29,146"
Total Global Technology Services,"$27,361 $6,363"
"Systems Hardware $ 5,481 Operating Systems Software","$5,918 1,686"
"1,497","1,671 $8,034"
"Total Systems $6,978 $7,604 $ 1,123","$1,400 $1,590"
Global Financing+ Other,"$1,092 * $2,169"
,"$ 169 $73,620 $77,147 $79,591"
