"($inmillions) AtDecember 31,020:",Americas,EMEA,EMEA,Asia Pacific,Total
Amortized cost,"$7,758","$5,023","$5,023","$3,042","$15,822"
Allowance for credit losses,,,,,
"Beginningbalance atDecember 31,2019",$120,,54,$36,$ 210
Adjustment for adoption of new standard,21,,15,5,41
"Beginningbalance atJanuary1,2020",$142,$,69,$ 41,$ 252
Write-offs,(28),,(3),(3),(34)
Recoveries,0,,0,2,3
Additions/(releases),33,,5,(4),34
Other*,(6),,6,1,1
"Ending balance at December 31,2020",$141,$,77,$ 37,$ 255
