Fair Value Hierarchy Level,2020 Assets (7),2020 Liabilities (8),2019 Assets (7),2019 Liabilities (8)
Time deposits and certificates of deposit (2),"7,668",N/A,"4,392",N/A
Money market funds,1,148,N/A,"427,N/A"
U.S. government securities (2),500,N/A,-,N/A
Total cash equivalents,"8,316",N/A,"4,819",N/A
Equity investments (3),1,2,N/A,"0,N/A"
Debt securities-current (2)(4),600,N/A,696,N/A
Debt securities-noncurrent (2)(5),7,N/A,65,N/A
Derivatives designated as hedging instruments,Interest rate contracts,2,100,"N/A,56,N/A"
Foreign exchange contracts,2,111,580,"175,635"
Derivatives not designated as hedging instruments,Foreign exchange contracts,2,13,"47,10,33"
Equity contracts (6),1,2,12,"N/A,1,4"
Total,"9,161",627,"5,823","673,"
