Client Financing Receivables,Client Loan and Installment Payment Receivables/(Loans),Investment in Sales-Type and Direct Financing Leases,Commercial Financing Receivables,Total
At December 31, 2020:,Client Financing Receivables,Client Loan and Installment Payment Receivables/(Loans),"Investment in Sales-Type and Direct Financing Leases,Commercial Financing Receivables,Total"
Financing receivables, gross,"$12,159","$4,001","$2,419,$18,580"
Unearned income,(488),(335),0,(823)
Residual value*,—,485,—,485
Amortized cost,"$11,671","$4,151","$2,419","$18,242"
Allowance for credit losses,(173),(82),(8),(263)
Total financing receivables, net,"$11,498","$4,069","$2,411,$17,979"
Current portion,"$ 6,955","$1,525","$2,411","$10,892"
Noncurrent portion,"$ 4,542","$2,544",$ —,"$ 7,086"
