($inmillionsexceptpershareamounts),,,,
For the year ended December31:,Notes,2020,2019,2018
Revenue,,,,
Services,,"$45,004","$47,493","$49,257"
Sales,,"27,484","28,252","28,735"
Financing,,"1,133","1,402","1,599"
Totalrevenue,C,"73,620","77,147","79,591"
Cost,,,,
Services,,"30,404","32,491","33,687"
Sales,,"6,934","7,263","7,835"
Financing,,708,904,"1,132"
Total cost,,"38,046","40,659","42,655"
Gross profit,,"35,575","36,488","36,936"
Expense and other (income),,,,
"Selling,general and administrative",,"23,082","20,604","19,366"
"Research,developmentand engineering",F,"6,333","5,989","5,379"
Intellectual property and custom development income Other (income) and expense,,(626),(648),"(1,026)"
Interest expense,P&T,861,(968),"1,152"
Total expense and other (income),,"1,288","1,344",723
Income from continuing operations before income taxes,,"30,937","26,322","25,594"
Provision for/(benefit from) income taxes,,"4,637","10,166","11,342"
Income from continuing operations,G,(864),731,"2,619"
"Income/(loss) from discontinued operations,net of tax",,"5,501","9,435","8,723"
Net income,,89,（4),5
Earnings/(loss) per share of common stock,,"$ 5,590","$9,431","$8,728"
Assuming dilution,,,,
Continuing operations,H,$ 6.13,$10.57,
Discontinued operations,H,0.10,(0.01),$9.51 0.01
Total,H,$6.23,$10.56,$9.52
Basic,,,,
Continuing operations,H,,$10.63,
Discontinued operations,H,$ 6.18 0.10,0.00,$9.56 0.01
Total,H,$ 6.28,$10.63,$9.57
Weighted-average number of common shares outstanding,,,,
,,,"892,813,376","916,315,714"
Assuming dilution Basic,,"896,563,971 890,348,679","887,235,105","912,048,072"
