($ in millions),For the year ended December 31:,2020,2019,2018
Cloud & Cognitive Software,Software,"$19,107","$18,649 *","$17,906 *"
Cloud & Cognitive Software,Services,"4,159","4,076 *","3,795 *"
Cloud & Cognitive Software,Systems,110,166,156
Global Business Services,Services,"$15,896","$16,527 *","$16,439 *"
Global Business Services,Software,180,156,151
Global Business Services,Systems,86,115,206
Global Technology Services,Services,"$19,632","$20,768","$22,222"
Global Technology Services,Maintenance,"4,815","5,183","5,484"
Global Technology Services,Systems,967,"1,072","1,069"
Global Technology Services,Software,399,338,371
Systems,Servers,"$3,466","$3,746","$3,996"
Systems,Storage,"1,801","1,920","2,114"
Systems,Software,"1,359","1,528","1,499"
Systems,Services,351,410,425
Global Financing,Financing,$834,"$1,120","$1,223"
Global Financing,Used equipment sales,289,281,366
