RSUs Weighted-Average Grant Price,RSUs Number of Units,PSUs Weighted-Average Grant Price,PSUs Number of Units
"Balance at January 1, 2018",$141,8555263,"$144,2649313"
Awards granted,121,4806790,"130,909140"
Awards released,148,2579962,"152,666244"
Awards canceled/forfeited/performance adjusted,139,979387,"147,472514"
"Balance at December 31, 2018",$130,9802704,"$136,2419695"
Awards granted,119,5650861,"117,1395534"
Awards released,136,3145016,"140,846672"
Awards canceled/forfeited/performance adjusted,128,981921,"131,112107"
"Balance at December 31, 2019",$123,11326628,"$126,2856450"
Awards granted,115,10651955,"117,1582666"
Awards released,126,3781240,"137,630974"
Awards canceled/forfeited/performance adjusted,121,1300639,"125,256642"
"Balance at December 31, 2020",$117,16896704,"$120,3551500"
