GAAP,Acquisition-Related Adjustments,Retirement-Related Adjustments,U.S. Tax Reform Impacts,Spin-off-Related Charges,Operating (non-GAAP)
Gross profit,"$11,100",$ 189,$ —,$ —,"$11,289"
Gross profit margin,51.0 %,0.9 pts.,— pts.,— pts.,51.8 %
SG&A,"$ 5,433",$(320),$ —,$ —,"$ 5,113"
RD&E,"1,596",0,—,—,"1,596"
Other (income) and expense,(117),(1),(196),—,(314)
Interest expense,354,,,,354
Total expense and other (income),"7,107",(320),(196),—,"6,591"
Pre-tax income from continuing operations,"3,993",509,196,—,"4,698"
Pre-tax margin from continuing operations,18.3 %,2.3 pts.,0.9 pts.,— pts.,21.6 %
Provision for income taxes*,$ 324,$ 133,$ 21,$ 14,$ 492
Effective tax rate,8.1 %,2.0 pts.,0.1 pts.,0.3 pts.,10.5 %
Income from continuing operations Income margin from continuing operations,"$ 3,669 16.8%",$ 376 1.7 pts.,$ 175 0.8 pts.,$(14) (0.1)pts.,"$ 4,206 19.3%"
Diluted earnings per share from continuing operations,$ 4.11,$ 0.42,$ 0.20,$(0.02),$ 4.71
