($ in millions),For the year ended December 31:,2020,2019,Yr-to-Yr. Percent Change
"Selling, general and administrative expense","Selling, general and administrative-other","$16,800","$17,099",(1.8)%
Advertising and promotional expense,"1,542","1,647",(6.3),
Workforce rebalancing charges,"2,922 *",555,426.3,
Amortization of acquired intangible assets,"1,123",762,47.5,
Stock-based compensation,586,453,29.5,
Provision for/(benefit from) expected credit loss expense,109,89,22.4,
"Total consolidated selling, general and administrative expense","$23,082 *","$20,604",12.0 %,
Non-operating adjustments,Amortization of acquired intangible assets,"(1,123)",(762),47.5
,Acquisition-related charges,(13),(282),(95.3)
,Spin-off-related charges,(28),—,NM
"Operating (non-GAAP) selling, general and administrative expense","$21,917 *","$19,560",12.1 %,
