Common Stock and Additional Paid-in Capital,Retained Earnings,Treasury Stock,Accumulated Other Comprehensive Income/(Loss),Total IBM Stockholders' Equity,Non-Controlling Interests,Total Equity
"$54,566","$153,126","$(163,507)",,"$17,594",,"$17,725"
Revenue*,580,580,"(2,422)",580,"-2,422",580
"Net income plus other comprehensive income/(loss), Net income",,"8,728",,,"8,728",
Other comprehensive income/(loss),(476),,,(476),,(476)
Total comprehensive income/(loss),"$ 8,252",,,,,"$ 8,252"
"Cash dividends paid—common stock, ($6.21 per share)","-(5,666)",,,,,"-(5,666)"
"Common stock issued under employee plans (3,998,245 shares)",585,,,,,585
"Purchases (1,173,416 shares) and sales (424,589 shares) of treasury stock under employee plans—net",15,-(117),,-,(103),-(103)
"Other treasury shares purchased, not retired (32,949,233 shares)",,"-(4,447)",,,,"-(4,447)"
Changes in other equity,0,,,,,0
Changes in noncontrolling interests,,,,,3,3
"Equity, December 31, 2018","$55,151","$159,206","$(168,071)",,"-(29,490)","$16,796"
