,Net Unrealized Gains/(Losses) on Cash Flow,Foreign Currency Translation,Net Change Retirement- Related Benefit,Net Unrealized Gains/(Losses) on Available- For-Sale,Accumulated Other Comprehensive
"December 31,2017",Hedges $35,"Adjustments * $(2,834)","Plans $(23,796)",Securities $3,"Income/(Loss) $(26,592)"
Cumulative effect of a change in accounting principle**,5,46,"(2,471)",(2),"(2,422)"
Other comprehensive income before reclassifications,(93),(902),"(2,092)",(1),"(3,089)"
Amount reclassified from accumulated other comprehensive income,337,1,"2,276",1,"2,612"
Total change for the period,244,(902),184,(1),(476)
"December 31,2018",284,"(3,690)","(26,083)",0,"(29,490)"
Other comprehensive income before reclassifications,(522),(10),(131),1,(663)
Amount reclassified from accumulated other comprehensive income,59,1,"1,496",二,"1,556"
Total change for the period,(463),（10）,"1,365",1,893
"December 31,2019",(179),"(3,700)","(24,718)",0,"(28,597)"
Other comprehensive income before reclassifications,(261),(965),"(1,412)",0,"(2,638)"
Amount reclassified from accumulated other comprehensive income,(16),,"1,914",,"1,898"
Total change for the period,$(277),$ (965),$ 501,$0,$ (740)
"December 31,2020",$(456),"$(4,665)","$(24,216)",$0,"$(29,337)"
