Total Contractual,Payment Stream,2021,2022-23,2024-25,After 2025
Long-term debt obligations,"$61,718","$6,956","$13,015","$10,751","$30,995"
Interest on long-term debt obligations,"16,538","1,526","2,691","2,125","10,196"
Finance lease obligations*,296,97,137,37,24
Operating lease obligations*,"5,265","1,468","2,070","1,089",638
Purchase obligations,"7,315","1,846","3,502","1,885",82
Other long-term liabilities:,,,,,
Minimum defined benefit plan pension funding (mandated)**,"1,500",300,600,600,
Excess 401(k) Plus Plan,"1,833",198,423,460,752
Long-term termination benefits+,"3,157","2,185",300,133,539
Tax reserves++,"4,913",368,,,
Other,754,224,159,109,263
Total,"$103,290","$15,168","$22,898","$17,189","$43,490"
