($ in millions),Cloud & Cognitive Software,Global Business Services,Global Technology Services,Systems,Global Financing,Total Segments
"For the year ended December 31:,Assets","$58,752","$10,290","$21,971","$4,620","$25,075","$120,708"
"For the year ended December 31:,Depreciation/amortization of intangibles**","1,168",180,"2,605",343,119,"4,415"
"For the year ended December 31:,Capital expenditures/investments in intangibles",548,28,"2,039",249,41,"2,906"
"For the year ended December 31:,Interest income",,,,,"1,058","1,058"
"For the year ended December 31:,Interest expense",,,,,307,307
"For the year ended December 31:,Assets","$58,342 *","$10,136 *","$22,436","$4,590","$29,568","$125,072 *"
"For the year ended December 31:,Depreciation/amortization of intangibles**","1,089 *",167*,"2,601",350,186,"4,392"
"For the year ended December 31:,Capital expenditures/investments in intangibles",517*,47 *,"1,575",305,57,"2,501"
"For the year ended December 31:,Interest income",,,,,"1,490","1,490"
"For the year ended December 31:,Interest expense",,,,,512,512
"For the year ended December 31:,Assets","$28,502 *","$ 8,443 *","$17,624","$4,030","$41,320","$ 99,920 *"
"For the year ended December 31:,Depreciation/amortization of intangibles**","1,051 *",108*,"2,359",315,229,"4,063"
"For the year ended December 31:,Capital expenditures/investments in intangibles","468 *,58 *","2,569",241,274,"3,610",
"For the year ended December 31:,Interest income",,,,,"1,647","1,647"
"For the year ended December 31:,Interest expense",,,,,515,515
