,RSUs,RSUs,PSUs,PSUs
,Weighted-Average Grant Price,Number of Units,Weighted-Average Grant Price,Number of Units
"Balanceat January1,2018",$141,"8,555,263",$144,"2,649,313"
Awards granted,121,"4,806,790",130,"909,140"
Awardsreleased,148,"(2,579,962)",152,"(666,244)"
Awards canceled/forfeited/performance adjusted,139,"（979,387)",147,"(472,514)*"
"Balance at December 31,2018",$130,"9,802,704",$136,"2,419,695 **"
Awards granted,119,"5,650,861",117,"1,395,534"
Awardsreleased,136,"(3,145,016)",140,"(846,672)"
Awards canceled/forfeited/performance adjusted,128,"(981,921)",131,"(112,107)*"
"BalanceatDecember 31,2019",$123,"11,326,628",$126,"2,856,450**"
Awards granted,115,"10,651,955",117,"1,582,666"
Awards released,126,"(3,781,240)",137,"(630,974)"
Awards canceled/forfeited/performance adjusted,121,"(1,300,639)",125,"(256,642)*"
"Balance at December 31,2020",$117,"16,896,704",$120,"3,551,500 **"
