GAAP,Acquisition-Related Adjustments,Retirement-Related Adjustments,U.S. Tax Reform Impacts,Spin-off-Related Charges,Operating (non-GAAP)
Gross profit,"$35,575",$732,$,$,"$36,308"
Gross profit margin,48.3 %,1.0 pts.,- pts.,- pts.,49.3 %
SG&A,"$23,082 *","$(1,137)",$,$,"$21,917 *"
RD&E,"6,333",-,-,-,"6,333"
Other (income) and expense,861,(2),"(1,123)",-,(265)
Interest expense,"1,288",-,-,-,"1,288"
Total expense and other (income),"30,937 *","(1,139)","(1,123)",-,"28,648 *"
Pre-tax income from continuing operations,"4,637 *","1,871","1,123",-,28
Pre-tax margin from continuing operations,6.3 %,2.5 pts.,1.5 pts.,- pts.,10.4 %
Provision for/(benefit from) income taxes**,$(864),$418,$215,$110,$(114)
Effective tax rate,(18.6)%,10.0 pts.,5.5 pts.,1.4 pts.,(1.5)%
Income from continuing operations,"$5,501 *","$1,454",$908,$(110),"$7,774 *"
Income margin from continuing operations,7.5 %,2.0 pts.,1.2 pts.,(0.1)pts.,10.6 %
Diluted earnings per share from continuing operations,$6.13 *,$1.63,$1.01,$(0.12),"$0.02,$8.67 *"
