At December 31:,2020,2019,2020,2019,2020,2019
U.S. Plans,,Benefit Obligations,Fair Value of Plan Assets,Funded Status*,Benefit Obligations,"Fair Value of Plan Assets,Funded Status*"
Oversubscribed plans,,Qualified PPP,Qualified PPP,Qualified PPP,Excess PPP,"Excess PPP,Excess PPP"
Qualified PPP,$50,375,$48,471,$54,"386,$51,784,$4,011,$3,313"
Underfunded plans,,Excess PPP,Retention Plan,Nonpension postretirement benefit plan,Total underfunded U.S. plans,"Total underfunded U.S. plans,Total underfunded U.S. plans"
Excess PPP,$1,556,$1,473,$ -,"$ -,$1,556,$1,473"
Retention Plan,306,288,$ -,$ -,$(306),$288
Nonpension postretirement benefit plan,3,791,3,857,15,"3,$(3,776),$3,854"
Total underfunded U.S. plans,$5,653,$5,618,$15,"$3,$(5,638),$5,615"
Non-U.S. Plans,,Oversubscribed plans,Oversubscribed plans,Oversubscribed plans,Underfunded plans,"Underfunded plans,Underfunded plans"
Oversubscribed plans,,Qualified defined benefit pension plans**,Qualified defined benefit pension plans**,Qualified defined benefit pension plans**,Nonqualified defined benefit pension plans,"Nonqualified defined benefit pension plans,Nonqualified defined benefit pension plans"
Qualified defined benefit pension plans**,$20,649,$18,371,$24,"246,$21,921,$3,597,$3,550"
Nonpension postretirement benefit plans,21,19,22,21,1,2
Total oversubscribed non-U.S. plans,$20,670,$18,390,$24,"269,$21,942,$3,599,$3,552"
Underfunded plans,,Qualified defined benefit pension plans**,Qualified defined benefit pension plans**,Qualified defined benefit pension plans**,Nonqualified defined benefit pension plans,"Nonqualified defined benefit pension plans,Nonqualified defined benefit pension plans"
Qualified defined benefit pension plans**,$25,160,$23,222,$19,"586,$18,398,$(5,574),$4,824"
Nonqualified defined benefit pension plans,7,180,6,731,$ -,"$ -,$(7,180),$6,731"
Nonpension postretirement benefit plans,755,828,31,44,$(723),$785
Total underfunded non-U.S. plans,$33,095,$30,782,$19,"617,$18,442,$(13,478),$12,340"
Total oversubscribed plans,$71,044,$66,861,$78,"654,$73,726,$7,610,$6,865"
Total underfunded plans,$38,747,$36,399,$19,"632,$18,445,$(19,116),$17,955"
