,Common Stock and,Accumulated,Accumulated,Accumulated,Accumulated,Accumulated,Accumulated
,Common Stock and,Additional Paid-in,Retained Treasury,Comprehensive,Other,Total IBM Stockholders',Non- Controlling
2019,Capital,Earnings,Stock,Income/(Loss),Equity,Interests,Total Equity
"Equity,January1,2019",,"$55,151 $159,206 $(168,071)",,"$(29,490)","$16,796",,"$134 $16,929"
Net income plus other comprehensive,,,,,,,
income/(loss) Net income,,"9,431",,,"9,431",,"9,431"
Other comprehensive income/(loss),,,,893,893,,893
Total comprehensive income/(loss),,,,,"$10,324",,"$10,324"
Cash dividends paid-common stock,,"(5,707)",,,"(5,707)",,
($6.43 per share) Common stock issued under employee,,,,,,,"(5,707)"
"plans (4,569,917 shares)",745,,,,745,,745
"Purchases (2,000,704 shares) and sales",,,,,,,
"(2,041,347 shares) of treasury stock",,30,(11),,19,,
under employee plans-net,,,,,,,19
"Other treasury shares purchased, not",,,"(1,331)",,,,
"retired (9,979,516 shares)",,,,,"(1,331)",,"(1,331)"
Changes in other equity,,（5）,,,,（5）,(5)
Changes in noncontrolling interests,,,,,,10,10
,,,"$55,895 $162,954 $(169,413)","$(28,597)","$20,841",,
"Equity,December 31,2019",,,,,,,"$144 $20,985"
