Perf.,AUPRC,Comp. ↑,Suff. ↓
Evidence Inference GloVe + LSTM - Attention,0.429,0.506,"-0.002,-0.023"
Evidence Inference GloVe + LSTM - Gradient,0.429,0.016,"0.046,-0.138"
Evidence Inference GloVe + LSTM - Lime,0.429,0.014,"0.006,-0.128"
Evidence Inference GloVe + LSTM - Random,0.429,0.014,"-0.001,-0.026"
BoolQ GloVe + LSTM - Attention,0.471,0.525,"0.010,0.022"
BoolQ GloVe + LSTM - Gradient,0.471,0.072,"0.024,0.031"
BoolQ GloVe + LSTM - Lime,0.471,0.073,"0.028,-0.154"
BoolQ GloVe + LSTM - Random,0.471,0.074,"0.000,0.005"
Movies BERT+LSTM - Attention,0.970,0.417,"0.129,0.097"
Movies BERT+LSTM - Gradient,0.970,0.385,"0.142,0.112"
Movies BERT+LSTM - Lime,0.970,0.280,"0.187,0.093"
Movies BERT+LSTM - Random,0.970,0.259,"0.058,0.330"
FEVER BERT+LSTM - Attention,0.870,0.235,"0.037,0.122"
FEVER BERT+LSTM - Gradient,0.870,0.232,"0.059,0.136"
FEVER BERT+LSTM - Lime,0.870,0.291,"0.212,0.014"
FEVER BERT+LSTM - Random,0.870,0.244,"0.034,0.122"
MultiRC BERT+LSTM - Attention,0.655,0.244,"0.036,0.052"
MultiRC BERT+LSTM - Gradient,0.655,0.224,"0.077,0.064"
MultiRC BERT+LSTM - Lime,0.655,0.208,"0.213,-0.079"
MultiRC BERT+LSTM - Random,0.655,0.186,"0.029,0.081"
CoS-E BERT+LSTM - Attention,0.487,0.606,"0.080,0.217"
CoS-E BERT+LSTM - Gradient,0.487,0.585,"0.124,0.226"
CoS-E BERT+LSTM - Lime,0.487,0.544,"0.223,0.143"
CoS-E BERT+LSTM - Random,0.487,0.594,"0.072,0.224"
e-SNLI BERT+LSTM - Attention,0.960,0.395,"0.105,0.583"
e-SNLI BERT+LSTM - Gradient,0.960,0.416,"0.180,0.472"
e-SNLI BERT+LSTM - Lime,0.960,0.513,"0.437,0.389"
e-SNLI BERT+LSTM - Random,0.960,0.357,"0.081,0.487"
