Dataset,Documents,Instances,Rationale %,Evidence Statements,Evidence Lengths
MultiRC Train,400,24029,17.4,56298,21.5
MultiRC Val,56,3214,18.5,7498,22.8
MultiRC Test,83,4848,-,-,-
Evidence Inference Train,1924,7958,1.34,10371,39.3
Evidence Inference Val,247,972,1.38,1294,40.3
Evidence Inference Test,240,959,-,-,-
Exhaustive Evidence Inference Val,81,101,4.47,504.0,35.2
Exhaustive Evidence Inference Test,106,152,-,-,-
Movie Reviews Train,1599,1600,9.35,13878,7.7
Movie Reviews Val,150,150,7.45,1143.0,6.6
Movie Reviews Test,200,200,-,-,-
Exhaustive Movie Reviews Val,50,50,19.10,592.0,12.8
FEVER Train,2915,97957,20.0,146856,31.3
FEVER Val,570,6122,21.6,8672,28.2
FEVER Test,614,6111,-,-,-
BoolQ Train,4518,6363,6.64,6363.0,110.2
BoolQ Val,1092,1491,7.13,1491.0,106.5
BoolQ Test,2294,2817,-,-,-
e-SNLI Train,911938,549309,27.3,1199035.0,1.8
e-SNLI Val,16328,9823,25.6,23639.0,1.6
e-SNLI Test,16299,9807,-,-,-
CoS-E Train,8733,8733,26.6,8733,7.4
CoS-E Val,1092,1092,27.1,1092,7.6
CoS-E Test,1092,1092,-,-,-
