Dataset Settings,Dataset Settings,|# Labels # Sent # Sample # Avg shot,|# Labels # Sent # Sample # Avg shot,|# Labels # Sent # Sample # Avg shot,|# Labels # Sent # Sample # Avg shot
CONLL'03,1-shot 5-shot 10-shot 20-shot,4,4.8 16.2 29.2 65.6,5.8 21.8 42.6 82.0,1.4 5.5 10.7 20.5
OntoNotes,1-shot 5-shot 10-shot 20-shot,18,20.0 84.8 158.6 332.8,33.4 148.0 281.0 547.2,1.9 8.2 15.6 30.4
FewNERD,1-shot 5-shot 10-shot 20-shot 1-shot,66,89.8 286.2 538.0 1027.2 81.6,147.0 494.8 962.0 1851.4,2.2 7.5 14.6 28.1 1.0
TACREV,5-shot 10-shot 20-shot 50-shot 100-shot,41,387.6 741.2 1367.2 2872.0 4561.0,41.0 205.0 406.0 806.0 1944.0 3520.0,5.0 9.9 19.7 47.4 85.9
TACRED,1-shot 5-shot 10-shot 20-shot 50-shot 100-shot,41,81.6 387.6 741.2 1367.2 2871.2 4575.2,41.0 205.0 406.0 806.0 1944.0 3520.0,1.0 5.0 9.9 19.7 47.4 85.9
ACE05,1-shot 5-shot 10-shot 20-shot,33,47.4 192.8 334.6 579.4,41.0 165.0 319.4 598.2,1.2 5.0 9.7 18.1
MAVEN,1-shot 5-shot 10-shot 20-shot,168,157.6 540.4 891.2 1286.4,298.0 1262.2 2413.8 4611.4,1.8 7.5 14.4 27.4
ERE,1-shot 5-shot 10-shot 20-shot,38,48.4 175.0 304.8 521.6,54.6 219.2 432.4 806.6,1.4 5.8 11.4 21.2
ACE05,1-shot 5-shot 10-shot 20-shot,33,23.4 79.8 130.8 213.4,40.2 178.2 337.4 630.2,1.2 5.4 10.2 19.1
RAMS,1-shot 5-shot 10-shot 20-shot,139,130.2 514.0 795.2 1070.4,332.6 1599.6 3193.2 6095.4,2.4 11.5 23.0 43.9
ERE,1-shot 5-shot 10-shot 20-shot,38,21.6 74.2 127.2 190.2,102.8 403.4 775.6 1397.2,2.7 10.6 20.4 36.8
