Dataset Settings,# Labels,# Sent,# Sample,# Avg shot
"CONLL'03,1-shot",4,4.8,5.8,1.4
"CONLL'03,5-shot",4,16.2,21.8,5.5
"CONLL'03,10-shot",4,29.2,42.6,10.7
"CONLL'03,20-shot",4,65.6,82.0,20.5
"OntoNotes,1-shot",18,20.0,33.4,1.9
"OntoNotes,5-shot",18,84.8,148.0,8.2
"OntoNotes,10-shot",18,158.6,281.0,15.6
"OntoNotes,20-shot",18,332.8,547.2,30.4
"FewNERD,1-shot",66,89.8,147.0,2.2
"FewNERD,5-shot",66,286.2,494.8,7.5
"FewNERD,10-shot",66,538.0,962.0,14.6
"FewNERD,20-shot",66,1027.2,1851.4,28.1
"TACREV,1-shot",41,81.6,41.0,1.0
"TACREV,5-shot",41,387.6,205.0,5.0
"TACREV,10-shot",41,741.2,406.0,9.9
"TACREV,20-shot",41,1367.2,806.0,19.7
"TACREV,50-shot",41,2872.0,1944.0,47.4
"TACREV,100-shot",41,4561.0,3520.0,85.9
"TACRED,1-shot",41,81.6,41.0,1.0
"TACRED,5-shot",41,387.6,205.0,5.0
"TACRED,10-shot",41,741.2,406.0,9.9
"TACRED,20-shot",41,1367.2,806.0,19.7
"TACRED,50-shot",41,2871.2,1944.0,47.4
"TACRED,100-shot",41,4575.2,3520.0,85.9
"ACE05,1-shot",33,47.4,41.0,1.2
"ACE05,5-shot",33,192.8,165.0,5.0
"ACE05,10-shot",33,334.6,319.4,9.7
"ACE05,20-shot",33,579.4,598.2,18.1
"MAVEN,1-shot",168,157.6,298.0,1.8
"MAVEN,5-shot",168,540.4,1262.2,7.5
"MAVEN,10-shot",168,891.2,2413.8,14.4
"MAVEN,20-shot",168,1286.4,4611.4,27.4
"ERE,1-shot",38,48.4,54.6,1.4
"ERE,5-shot",38,175.0,219.2,5.8
"ERE,10-shot",38,304.8,432.4,11.4
"ERE,20-shot",38,521.6,806.6,21.2
"ACE05,1-shot",33,23.4,40.2,1.2
"ACE05,5-shot",33,79.8,178.2,5.4
"ACE05,10-shot",33,130.8,337.4,10.2
"ACE05,20-shot",33,213.4,630.2,19.1
"RAMS,1-shot",139,130.2,332.6,2.4
"RAMS,5-shot",139,514.0,1599.6,11.5
"RAMS,10-shot",139,795.2,3193.2,23.0
"RAMS,20-shot",139,1070.4,6095.4,43.9
"ERE,1-shot",38,21.6,102.8,2.7
"ERE,5-shot",38,74.2,403.4,10.6
"ERE,10-shot",38,127.2,775.6,20.4
"ERE,20-shot",38,190.2,1397.2,36.8
