Final dispositions,AAPOR code,ATP,KP,Total
Completed interview,1.1,"6,025","1,622","7,647"
Logged on to survey; broke-off,2.12,56,126,182
Logged on to survey; did not complete any items,2.1121,28,95,123
Never logged on (implicit refusal),2.11,682,"3,519","4,201"
Survey completed after close of the field period,2.27,1,0,1
Completed interview but was removed for data quality,2.3,12,7,19
Screened out,4.7,0,"1,048","1,048"
Total panelists in the survey,,"6,804","6,417","13,221"
Completed interviews,一,"6,025","1,622","7,647"
Partial interviews,P,0,0,0
Refusals,R,778,133,911
Non-contact,NC,1,0,1
Other,0,0,0,0
Unknown household,UH,0,0,0
Unknown other,UO,0,"3,614","3,614"
Not eligible,NE,0,0,0
Screen out,SO,0,"1,048","1,048"
Total,,"6,804","6,417","13,221"
Est. eligibility rate among unscreened: e = (I+R)/(l+R+SO),,100%,63%,89%
AAPOR RR1 = I/ (I+P+R+NC+O+UH+UO),,89%,30%,63%
AAPOR RR3 = I/ (I+R+[e*UO]),,,,
,,89%,40%,65%
Cumulative response rate,ATP,KP,,Total
Weighted response rate to recruitment surveys,12%,8%,,10%
"% of recruitment survey respondents who agreed to join the panel, among those invited",69%,49%,,59%
% of those agreeing to join who were active panelists at,,,,
start of Wave 113 Response rate to Wave 113 survey,43%,53%,,48%
Cumulative response rate,89% 3%,40% 1%,,65% 2%
