Disapprove Very strongly,Disapprove Not so strongly,Disapprove Not so strongly,Disapprove Very strongly,Approve Not so strongly,Approve Very strongly,NET
Hispanic registered voters,30,23,20,24,45,
Dem/Lean Dem,9,25,29,35,65,
Rep/Lean Rep,72,19,4,4,9,
Catholic,25,21,22,29,53,
Evangelical Protestant,48,21,11,17,29,
No religious affiliation,27,27,21,22,44,
Being Hispanic is ...,24,22,23,28,52,
Extremely/Very important,38,24,17,19,37,
Less important,43,17,18,19,37,
U.S. registered voters,43,17,18,19,37,
