Variable,Benchmark source
Age x Gender Education x Gender Education x Age Race/Ethnicity x Education,2019 American Community Survey （ACS)
Born inside vs. outside the U.S.among Hispanics and Asian Americans Years lived in the U.S.,
Census regionx Metro/Non-metro Volunteerism,2020 CPS March Supplement 2021American Trends Panel Annual
,Profile Survey
Voter registration Party affiliation,2018 CPS Voting and Registration Supplement 2021 National Public Opinion
Frequency of internet use Religious affiliation,Reference Survey (NPORS)
Additional weighting dimensionsapplied within Hispanicadults Age by Gender,2019 American Community Survey
Education by Gender Education by Age Hispanic origin or ancestry Hispanic origin by U.S. citizenship,（ACS)
Hispanic origin by education Birth country Years lived in the U.S.,
Census region Metro/Non-metro,2020 CPS March Supplement
Partyaffiliation Frequency of internet use,2021 National Public Opinion Reference Survey (NPORS)
Religious affiliation Volunteerism,2021American Trends Panel Annual
Voter registration xMexican origin,Profile Survey 2018 CPS Voting and Registration
,Supplement
PEW RESEARCH CENTER,
adult population.,
"Note: Estimates from the ACS are based on noninstitutionalized adults.Voter registration is calculated using procedures from Hur, Achen (2013) and rescaled to include the total U.S.",
