"2021 2020 2019Profit (loss) of consolidated and affiliated companies $ 6,493$ 3,003$ 6,094","2021 2020 2019Profit (loss) of consolidated and affiliated companies $ 6,493$ 3,003$ 6,094","2021 2020 2019Profit (loss) of consolidated and affiliated companies $ 6,493$ 3,003$ 6,094","2021 2020 2019Profit (loss) of consolidated and affiliated companies $ 6,493$ 3,003$ 6,094","2021 2020 2019Profit (loss) of consolidated and affiliated companies $ 6,493$ 3,003$ 6,094"
"Other comprehensive income (los), net of tax (Note 17):",,,,
Foreign currency translation:,(598),,577,16
Pension and other postretirement benefits:,(30),,(29),(34)
Derivative financial instruments:,(3）,(3）,97,(8)
Available-for-sale securities:,(34),,34,35
"Total other comprehensive income (loss), net of tax",(665）),(665）),679,9
Comprehensive income (loss),"5,828","5,828","3,682","6,103"
Less: comprehensive income atributable to the noncontrolling interests,4,4,5,1
Comprehensive income (loss) attributable to shareholders,"$ 5,824",$,"3,677","$ 6,102"
See accompanying notes to Consolidated Financial Statements.,See accompanying notes to Consolidated Financial Statements.,See accompanying notes to Consolidated Financial Statements.,See accompanying notes to Consolidated Financial Statements.,
