Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,Sales and Revenues by Geographic RegionExternal Sales Total Sales andNorth America Latin America EAME Asia/Pacific and Revenues Inter-Segment Revenues% % % % % % %(Millions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg2021,
ConstructionIndustries,$ 9.676 31%,$ 9.676 31%,"$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%","$ 9,676 31% $1,913 86% $ 4,858 40% $ 5.547 11% $21.99430% $ 112 167% $22,106 31%",
Resource,,,,,,,,,,,,,,,,,,,,,
Industries,2.98731%,2.98731%,"1,72438%","1,72438%","1,98727%","1,98727%","2,80420%","2,80420%","2,80420%","2,80420%","9,502",28%,"4611% 9,96326%","4611% 9,96326%","4611% 9,96326%","4611% 9,96326%","4611% 9,96326%","4611% 9,96326%","4611% 9,96326%","4611% 9,96326%",
Energy &,,,,,,,,,,,,,,,,,,,,,
Transportation,"7,611",11%,"1,23332%","1,23332%","4,908 10%","4,908 10%","2,918",20%,20%,20%,"16,670",14%,"3,61729%",29%,29%,29%,"20,28716%","20,28716%","20,28716%","20,28716%",
All Other Segment,56,56107%,2(50%),2(50%),18 (31%),18 (31%),69,6923%,6923%,6923%,145,28%,366,3%,3%,3%,511 9%,511 9%,511 9%,511 9%,
Corporate Items,,,,,,,,,,,,,,,,,,,,,
and Eliminations,(106),,(1),(1),(1),(1),(15),,,,(123),,"(4,556) (4,679)","(4,556) (4,679)","(4,556) (4,679)","(4,556) (4,679)","(4,556) (4,679)","(4,556) (4,679)","(4,556) (4,679)","(4,556) (4,679)",
"Machinery, Energy",,,,,,,,15%,15%,15%,"48,188",,"1% 48,188","1% 48,188","1% 48,188","1% 48,188","1% 48,188","1% 48,188","1% 48,188",,
