Segment,U.S. Facilities,Facilities Outside the U.S.
Construction Industries,Arkansas: North Little Rock,"Brazil: Campo Largo,Piracicaba"
,Georgia: Athens,"China: Suzhou,Wujiang, Xuzhou, Qingzhou"
,"Ilinois: Decatur, East Peoria","France: Grenoble, Echirolles"
,Kansas: Wamego,Hungary: Godollo
,Minnesota: Brooklyn Park,India: Thiruvallur
,"North Carolina: Clayton, Sanford",Indonesia: Jakarta
,Texas: Victoria,"Italy: Minerbio,Cattolica"
,,Japan: Akashi
,,Mexico: Torreon
,,Netherlands: Den Bosch
,,"Poland: Janow, Sosnowiec"
,,Russia: Tosno
,,Thailand: Rayong
,,"United Kingdom: Desford, Stockton"
Resource Industries,"Illinois: Decatur,EastPeoria","China: Qingzhou, Wuxi"
,South Carolina: Sumter,"Germany: Dortmund, Lunen"
,Texas: Denison,India: Thiruvallur
,Wisconsin: South Milwaukee,Indonesia: Batam
,,Italy: Jesi
,,"Mexico: Acuna, Monterrey, Reynosa"
,,Russia: Tosno
,,Thailand: Rayong
,,"United Kingdom: Peterlee,Springvale"
Energy & Transportation,"Alabama: Albertville, Montgomery","Australia: Cardif, Perth, Redbank,Revesby"
,Califormia: San Diego,"Brazil: Curitiba, Hortolandia, Piracicaba, Sete Lagoas"
,"Georgia: Griffin, Patterson","China: Tianjin, Wuxi"
,"Illinois: Mossville,apletonontiac","Czech Republic: Zatec, Zebrak"
,"Indiana: Lafayette, Muncie","Germany: Kiel, Mannheim, Rostock"
,"Kentucky: Decoursey, Mayield","India: Aurangabad, Hosur"
,Oklahoma: Broken Arrow,Indonesia: Batam
,North Carolina: Winston-Salem,Italy: Pistoria
,"Texas: Channelview, DeSoto,Fort Worth, Mabank, San Antonio, Schertz, Seguin, Sherman","Mexico: San Luis Potosi, Tijuana"
