Profit (Loss) by Segment,,,,
(Millions of dollars),2021,2020,$ Change,% Change
Construction Industries,$ 3.706$,2.373$,"1,333",56%
Resource Industries,"1,291",896,395,44%
Energy &Transportation,2.768,2.405,363,15%
All Other Segment,(14),28,(42),n/a
Corporate Items and Eliminations,(1.388),"(1,381)",（7),
"Machinery, Energy & Transportation",6.363,"4,321",2.042,47%
Financial Products Segment,908,590,318,54%
Corporate Items and Eliminations,（92),(53),,
Financial Products,,,(39),
Consolidating Adjustments,816 (301),537 (305),279,52%
Consolidated Operating Profit,$ 6.878s,4.553$,4 2.325,51%
