Deferred income tax assets,December 31,2021,2020
Tax carryforwards,"$ 1,380","$ 1,346",
Postemployment benefits other than pensions,848,919,
Employee compensation and benefits,464,267,
Research expenditures,415,193,
Intercompany prepayments,280,—,
Warranty reserves,266,247,
Lease obligations,159,154,
Post sale discounts,143,153,
Pension,111,396,
Allowance for credit losses,106,126,
Other—net,235,317,
"4,407","4,118",,
Deferred income tax liabilities,"Capital and intangible assets, including lease basis differences","(1,457)","(1,526)"
Other outside basis differences,(264),(284),
Translation,(188),(147),
Bond discount,(112),(117),
Undistributed profits of non-U.S. subsidiaries,(101),(95),
"(2,122)","(2,169)",,
Valuation allowance for deferred tax assets,"(1,028)","(1,009)",
Deferred income taxes—net,"$ 1,257",$ 940,
