Name and age,Present Caterpillar Inc. position and date of initial election,Principal positions held during the past five years if other than Caterpillar Inc. position currently held
D.James Umpleby III(63),Chairman of the Board (2018) and Chief Executive Officer (2017),Group President (2013-2016)
Andrew R.J. Bonfield (59),Chief Financial Officer (2018),Group Chief Financial Officer fora multinational electricity and gas utility company (2010-2018)
Bob De Lange (52),Group President (2017),"Vice President (2015-2016), Worldwide Product Manager, Medium Wheel Loaders, (2013-2014)"
Denise C. Johnson (55),Group President (2016),Vice President (2012-2016)
Joseph E. Creed (46),Group President (2021),"Vice President, Oil & Gas and Marine Division (2019-2020), Interim Chief Financial Officer (2018), Vice President, Finance Services Division (2017),GroupChiefFinancialOfficer,nergy and Transportation (2013-2016)"
Anthony D. Fassino (51),Group President (2021),"Vice President, Building Construction Products (2018-2020), Director of Worldwide Forestry Products (2016-2018)"
Suzette M. Long (56),Chief Legal Officer and General Counsel (2017),"Interim Executive Vice President, Law and Public Policy (2017), Deputy General Counsel (2013-2017)"
Cheryl H. Johnson (61),Chief Human Resources Officer (2017),"Executive Vice President of Human Resources for a global multi-industry aerospace,defense and industrial"
G. Michael Marvel (60),Chief Accounting Officer (2019),"manufacturing company (2012-2017) Director of Corporate Financial Reporting (2018-2019), Chief Financial Officer for Solar Turbines Incorporated (2013-2018)"
