Reconciliation of Capital expenditures: (Millions of dollars),,,,
Reconciliation of Capital expenditures: (Millions of dollars),2021,2020,2019,
Capital expenditures from reportable segments:,,,,
Construction Industries,$ 255$,,213$,201
Resource Industries,199,,125,168
Energy & Transportation,627,,495,613
Financial Products Segment,"1,218",,"1,100","1,534"
Total capital expenditures from reportable segments,"2,299",,"1,933",2.516
Items not included in segment capital expenditures:,,,,
All Other operating segment,182,,156,131
Cost centers,56,,47,101
Timing,(74),,19,(11)
Other,9,,（40）,（68)
Total capital expenditures,"$ 2,472",$,"2,115 $",2.669
