"Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:",,,,,,,,,
"Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:",2021 2020 2019 2021 2020 2019 2021 2020 2019,2021 2020 2019 2021 2020 2019 2021 2020 2019,2021 2020 2019 2021 2020 2019 2021 2020 2019,2021 2020 2019 2021 2020 2019 2021 2020 2019,2021 2020 2019 2021 2020 2019 2021 2020 2019,2021 2020 2019 2021 2020 2019 2021 2020 2019,2021 2020 2019 2021 2020 2019 2021 2020 2019,2021 2020 2019 2021 2020 2019 2021 2020 2019,2021 2020 2019 2021 2020 2019 2021 2020 2019
"Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:","Supplemental consolldatingdataMachinery,Energy &Consolidated Transportation Financial Products Consolidating Adjustments(Millions of dollars) 2021 2020 2019 2021 2020 2019 2021 2020 2019 2021 2020 2019Sales and revenues:",,,,,,,,,
"Sales of Machinery, Energy&Transportation $ 48,188 $ 39,022 $ 50,755 $ 48,188 $ 39.022 $ 50,755$","Sales of Machinery, Energy&Transportation $ 48,188 $ 39,022 $ 50,755 $ 48,188 $ 39.022 $ 50,755$","Sales of Machinery, Energy&Transportation $ 48,188 $ 39,022 $ 50,755 $ 48,188 $ 39.022 $ 50,755$","Sales of Machinery, Energy&Transportation $ 48,188 $ 39,022 $ 50,755 $ 48,188 $ 39.022 $ 50,755$","Sales of Machinery, Energy&Transportation $ 48,188 $ 39,022 $ 50,755 $ 48,188 $ 39.022 $ 50,755$","$ 48,188 $ 39.022","$ 48,188 $ 39.022","$ 50,755",丨$ 1$ 1 $ 1 $ 1 $,丨$ 1$ 1 $ 1 $ 1 $,丨$ 1$ 1 $ 1 $ 1 $,丨$ 1$ 1 $ 1 $ 1 $,丨$ 1$ 1 $ 1 $ 1 $,丨$ 1$ 1 $ 1 $ 1 $,,,,,,,,,
Revenues of Financial,,,,,,,,"3,172 3,110 3.571 (389)1 (384)1 (526)1","3,172 3,110 3.571 (389)1 (384)1 (526)1","3,172 3,110 3.571 (389)1 (384)1 (526)1","3,172 3,110 3.571 (389)1 (384)1 (526)1","3,172 3,110 3.571 (389)1 (384)1 (526)1","3,172 3,110 3.571 (389)1 (384)1 (526)1",,,,,,,,,
Products,"2,783","2,726","3,045","3,045",,,,"3,172 3,110 3.571 (389)1 (384)1 (526)1","3,172 3,110 3.571 (389)1 (384)1 (526)1","3,172 3,110 3.571 (389)1 (384)1 (526)1","3,172 3,110 3.571 (389)1 (384)1 (526)1","3,172 3,110 3.571 (389)1 (384)1 (526)1","3,172 3,110 3.571 (389)1 (384)1 (526)1",,,,,,,,,
Total sales and revenues,"50,971","41,748","53,800","53,800","48,188","39,022","50,755","3,172 3,110","3,172 3,110","3,571",(389),(384),(526),,,,,,,,,
Operating costs:,,,,,,,,,,,,,,,,,,,,,,
Cost of goods sold,"35,513","29,082","36,630","36,630","35,521","29,088","36,634",,,,(8)²,(6)²,(4)²,,,,,,,,,
"Selling, general and",,,,,,,,,,,,,,,,,,,,,,
administrative expenses,"5,365","4,642","5,162","5,162","4,724",3.915,"4,444",654 746,654 746,737,(13)²,(19)²,(19)²,,,,,,,,,
Research and development,,,,,,,"1,693",,,,,,,,,,,,,,,
expenses,"1,686","1,415","1,693","1,693","1,686","1,415","1,693",,,,,,,,,,,,,,,
Interest expense of Financial,,,,,,,,,,,,(2)³,(32)³,,,,,,,,,
Products,455,589,754,754,,,,455 591,455 591,786,1,(2)³,(32)³,,,,,,,,,
Other operating (income)expenses,,"1,467","1,271","1,271",(106),283,14,"1,247","1,236","1,297",(67)²,(52)²,(40)²,,,,,,,,,
Other operating (income)expenses,"1,074","1,467","1,271","1,271",(106),283,14,"1,247","1,236","1,297",(67)²,(52)²,(40)²,,,,,,,,,
Total operating costs,"44,093","37,195","45,510","45,510","41,825","34,701","42,785","2,356","2,573","2,820",（88),（79）,（95),,,,,,,,,
Operating profit,"6,878","4,553","8,290","8,290","6,363","4,321","7,970",816,537,751,(301),(305),(431),,,,,,,,,
Interest expense excluding,,,,,,,,,,,,,,,,,,,,,,
Financial Products,488,514,421,421,488,513,429,,,,,1,(8)3,,,,,,,,,
Other income (expense),"1,814",(44),(57),(57),"2,276",(62),(535),87,32,80,(549) 4,(14)4,3984,,,,,,,,,
Consolidated profit before,,,,,,,,,,,,,,,,,,,,,,
taxes,"8,204","3.,995","7,812","7,812","8,151","3,746","7,006",903,569,831,(850),(320),(25),,,,,,,,,
Provision (benefit)for income,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,234,1,,,,,,,,,,,
,,,,,,,,,,234,1,,1,,,,,,,,,
taxes,"1,742","1,006","1,746","1,746","1,517",853,"1,512",225,153,234,1,,1,,,,,,,,,
Profit of consolidated,,2.989,"6,066","6,066",,,,,,,,,,,,,,,,,,
companies,"6,462",2.989,"6,066","6,066",,,,,,,,,,,,,,,,,,
companies,"6,462",2.989,"6,066","6,066","6,066","6,634",2.893,5.494,678,416,597,(850),(320),(25),,,,,,,,
Equity in profit (loss) of,,,,,,,,,,,,,,,,,,,,,,
unconsolidated affiliated,,,,,,,,,,,,,,,,,,,,,,
companies,31,14,28,28,42,29,49,,,,(11) §,(15)5,(21)5,,,,,,,,,
Profit of consolidated and,,,,,,,,,,,,,,,,,,,,,,
affiliated companies,"6,493","3,003","6,094","6,094","6,676","2,922","5,543",678,416,597,(861),(335),(46),,,,,,,,,
Less: Profit (loss)attributable,,5,1,1,3,5,,12,15,22,(11)。,(15),(21) 。,,,,,,,,,
to noncontrolling interests,4,5,1,1,3,5,,12,15,22,(11)。,(15),(21) 。,,,,,,,,,
Profit7,$6.489,$ 2.998,$ 6.093,$ 6.093,$6.673,$ 2.917,$ 5.543,$666,$ 401,$ 575,$ (850),$ (320),$(25),,,,,,,,,
