Construction Industries,"December 31, 2019",Acquisitions,Other Adjustments,"December 31, 2020"
Goodwill,$ 306,$,$ 14,$ 320
Impairments,(22),,,(22)
Net goodwill,284,,14,298
Resource Industries,Goodwill,"4,156",97,"4,253"
Impairments,"(1,175)",,,"(1,175)"
Net goodwill,"2,981",,97,"3,078"
Energy & Transportation,Goodwill,"2,875",41,"43,2,959"
All Other,Goodwill,56,,"3,59"
Consolidated total,Goodwill,"7,393",41,"157,7,591"
Impairments,"(1,197)",,,"(1,197)"
Net goodwill,"$ 6,196",$ 41,$ 157,"$ 6,394"
