,"December 31,2021 Unrealized","December 31,2021 Unrealized","December 31,2021 Unrealized","December 31,2021 Unrealized","December 31,2020 Unrealized","December 31,2020 Unrealized","December 31,2020 Unrealized","December 31,2020 Unrealized"
(Millions of dollars),Cost Basis,Pretax Net Gains (Losses),,Fair Value,Cost Basis,Pretax Net Gains (Losses),,Fair Value
Government debt,,,$,,,,,
U.S. treasury bonds,,10$,,10,$,10$,,10
Other U.S.and non-U.S.government bonds,,61,,61,,58,1,59
Corporate bonds,,,,,,,,
Corporate bonds,"1,027",,19,"1,046",,962,50,"1,012"
Asset-backed securities,175,,1,176,,156,3,159
Mortgage-backed debt securities,,,,,,362,,
U.S. governmental agency,319,,6,325,,,12,374
Residential,,4,,4,,,一,5
Commercial,98,,1,99,,60,4,64
Total debt securities,"1,694",$,27,"1,721",$,"1,613 $",70$,"1,683"
